"Model","ROC_AUC","PR_AUC"
"LASSO",0.950569968553459,0.816590404781441
"Random Forest",0.934617400419287,0.679003102840154
"Original Neural Network",0.850301362683438,0.537356140225068
"Regularized Neural Network",0.860849056603774,0.526790213960982
