"Model","threshold","sensitivity","specificity","precision","accuracy"
"LASSO",0.2,0.849056603773585,0.923611111111111,0.671641791044776,0.912023460410557
"Random Forest",0.25,0.811320754716981,0.878472222222222,0.551282051282051,0.868035190615836
"Original NN",0.05,0.452830188679245,0.913194444444444,0.489795918367347,0.841642228739003
"Regularized NN",0.05,0.415094339622642,0.940972222222222,0.564102564102564,0.859237536656892
