"gene","importance","Non-unique Gene name","Annotation"
"kdgT_2~~~kdgT_3",0.000247599771599651,"kdgT_2;kdgT_3","2-keto-3-deoxygluconate permease"
"group_30513",0.000238693663103751,"","IS6 family transposase IS15DII;hypothetical protein;IS6 family transposase IS26"
"ugpA_2",0.000235536674442499,"ugpA_2;","sn-glycerol-3-phosphate transport system permease protein UgpA;hypothetical protein"
"cusF_2~~~cusF_1~~~cusF",0.000234887475427542,"cusF_2;cusF_1;cusF","Cation efflux system protein CusF"
"trpF_1~~~trpF",0.00023459885053466,"trpF_1;trpF","N-(5'-phosphoribosyl)anthranilate isomerase"
"group_3533",0.000231562142863968,"","hypothetical protein"
"group_5136",0.000227477931874416,"","hypothetical protein"
"group_2521",0.000223453797768675,"","hypothetical protein"
"group_6987",0.000222800044375851,"","hypothetical protein"
"group_740",0.0002140343414969,"","hypothetical protein"
"group_27454",0.000213822551978791,"","IS4 family transposase ISVsa5"
"group_1926",0.000213416484297746,"","hypothetical protein"
"flmA~~~flmC_2~~~flmC",0.000204235787000483,"flmA;;flmC_2;flmC","Stable plasmid inheritance protein;hypothetical protein;Protein FlmC"
"group_5126",0.000203385499720422,"","hypothetical protein"
"group_30104",0.00019637945854292,"","hypothetical protein"
"agp_2",0.000195103715489318,"agp_2","Glucose-1-phosphatase"
"ridA_3",0.000194377630037698,"ridA_3","2-iminobutanoate/2-iminopropanoate deaminase"
"group_495",0.000194283500768305,"","hypothetical protein"
"group_27992",0.000188454139868947,";kdsr","hypothetical protein;3-ketodihydrosphingosine reductase"
"tnsE~~~tnsE_1",0.000187570169574187,"tnsE;tnsE_1","Transposon Tn7 transposition protein TnsE"
"group_3114",0.000186554375783863,"","hypothetical protein"
"group_4482",0.000186290294025123,"","hypothetical protein"
"group_10778",0.000185643243943793,"","hypothetical protein"
"group_27698",0.00017977718061029,"groEL_2","Chaperonin GroEL"
"vapB",0.000174615497895311,";vapB","hypothetical protein;Antitoxin VapB"
"group_11649",0.000168751150559841,"","hypothetical protein"
"group_10716",0.000162638617208627,"","hypothetical protein"
"mqsR_1~~~mqsR",0.000161831043156756,";mqsR_1;mqsR","hypothetical protein;mRNA interferase toxin MqsR"
"wfgD",0.000159223474765878,";wfgD","hypothetical protein;UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-13-glucosyltransferase WfgD"
"group_29662",0.000158646611853035,"","hypothetical protein;IS21 family transposase IS1326"
"group_4326",0.000151323154890733,"","hypothetical protein"
"group_7075",0.000147642409806217,"","hypothetical protein"
"group_6485",0.000146504602579733,"","hypothetical protein"
"xerD_1~~~xerD_2~~~xerC_1",0.000144961905432924,"xerD_1;xerD_2;xerC_1","Tyrosine recombinase XerD;Tyrosine recombinase XerC"
"traD_2~~~traD_1",0.00014477408715487,"traD_2;;traD_1","Coupling protein TraD;hypothetical protein"
"group_11652",0.000144363640843186,"","hypothetical protein"
"group_27989",0.000143769424630718,"","hypothetical protein"
"group_3895",0.000143274677978656,"","hypothetical protein"
"group_7714",0.000138558700260657,"","hypothetical protein"
"ysdC~~~ysdC_2~~~ysdC_1",0.000138269247107441,"ysdC;ysdC_2;;ysdC_1","Putative aminopeptidase YsdC;hypothetical protein"
"papE~~~papE_1",0.000138050313195918,"papE;papE_1","Fimbrial protein PapE"
"group_10780",0.000136856201039441,"","hypothetical protein"
"group_30994",0.000136082747746191,"","hypothetical protein"
"iucB~~~iucB_2~~~iucB_1",0.000135901184504213,"iucB;iucB_2;iucB_1","N(6)-hydroxylysine O-acetyltransferase"
"group_27508",0.00013453572367905,"","hypothetical protein"
"papA~~~papA_4~~~papA_2~~~papA_1~~~papA_3",0.000133665958506966,"papA;;papA_4;papA_2;papA_1;papA_3","Pap fimbrial major pilin protein;hypothetical protein"
"group_5674",0.000131588920185077,"","hypothetical protein"
"group_2739",0.000130666830169236,"","hypothetical protein"
"group_33565",0.000129017402224593,"","hypothetical protein;IS6 family transposase IS26;IS6 family transposase IS15DII;IS6 family transposase IS15"
"group_55",0.00012880255699291,"","hypothetical protein"
"group_2416",0.000127660877228567,"","Glycine betaine transporter;hypothetical protein"
"group_8489",0.000126221552013968,"","hypothetical protein"
"etp_2~~~amsI~~~wzb~~~etp_1",0.000125713819185536,"etp_2;amsI;wzb;etp_1","Low molecular weight protein-tyrosine-phosphatase Etp;putative low molecular weight protein-tyrosine-phosphatase AmsI;Low molecular weight protein-tyrosine-phosphatase Wzb"
"wzc_1~~~wzc_2~~~wzc",0.000123604849055963,"wzc_1;wzc_2;wzc;","Tyrosine-protein kinase wzc;hypothetical protein"
"group_5483",0.000122747264998533,"","hypothetical protein"
"group_5398",0.000121142216908293,"","hypothetical protein"
"group_19199",0.000120855838687603,"","hypothetical protein"
"tagH",0.000119537439564348,"tagH","Teichoic acids export ATP-binding protein TagH"
"group_10779",0.0001182284170041,"","hypothetical protein"
"group_10269",0.000117733348458953,"tnsA;tnsA_2;tnsA_1","Transposon Tn7 transposition protein TnsA"
"group_17732",0.000117500517402293,"","hypothetical protein"
"group_1564",0.000117073648197581,"","hypothetical protein"
"group_27452",0.000116460387237763,"","hypothetical protein"
"group_2241",0.000115393115389951,"","hypothetical protein"
"group_28307",0.000115261819761016,"","IS4 family transposase ISAba33"
"ubiG_1~~~ubiG_2",0.000114741503847746,"ubiG_1;ubiG_2;","Ubiquinone biosynthesis O-methyltransferase;hypothetical protein"
"group_8492",0.000114180507449432,"","hypothetical protein"
"group_10534",0.000113746207076042,"","hypothetical protein"
"group_33719",0.000113502682025458,"","hypothetical protein"
"group_27444",0.000112095030930935,"","hypothetical protein"
"mqsA",0.00010929340316219,"mqsA;","Antitoxin MqsA;hypothetical protein"
"gnd~~~gnd_2~~~gnd_1",0.000107822347299587,"gnd;gnd_2;;gnd_1","6-phosphogluconate dehydrogenase decarboxylating;hypothetical protein"
"resA~~~resA_2",0.000107486976138563,"resA;resA_2","Thiol-disulfide oxidoreductase ResA"
"hin_2~~~hin_1~~~hin_4",0.000106184443949565,"hin_2;hin_1;hin_4","DNA-invertase hin"
"mntB_4~~~mntB_1~~~mntB_5~~~mntB_2",0.000103842821385004,"mntB_4;;mntB_1;mntB_5;mntB_2","Manganese transport system membrane protein MntB;hypothetical protein"
"group_9051",0.000103579751150056,"","hypothetical protein"
"tnpR~~~tnpR_2",0.000102994150199557,"tnpR;tnpR_2","Transposon Tn3 resolvase;Transposon gamma-delta resolvase"
"group_10784",0.000102885691442423,"nqrC","Na(+)-translocating NADH-quinone reductase subunit C"
"resA_3~~~resA_2",0.000102180032497961,"resA_3;;resA_2","Thiol-disulfide oxidoreductase ResA;hypothetical protein"
"group_1156",0.000101698098955887,"","hypothetical protein"
"group_32649",0.000100190810053236,"","hypothetical protein"
"group_10777",0.000100018758829868,"","hypothetical protein"
"group_10029",9.96735038580594e-05,"","hypothetical protein"
"group_3719",9.92575845594212e-05,"","hypothetical protein"
"group_1152",9.84552838241819e-05,"","hypothetical protein"
"group_4002",9.78675604594979e-05,"","hypothetical protein"
"group_1142",9.71340086702317e-05,"","hypothetical protein"
"group_11651",9.6518871911994e-05,"","hypothetical protein"
"group_8738",9.63752029253588e-05,"","hypothetical protein"
"group_8827",9.55375231823643e-05,"","hypothetical protein"
"group_27991",9.54727758960294e-05,"","hypothetical protein"
"afaD",9.30183613590134e-05,"afaD","Protein AfaD"
"mepM_2~~~mepM_1~~~shyA",9.2809268491614e-05,"mepM_2;mepM_1;shyA;","Murein DD-endopeptidase MepM;Peptidoglycan DD-endopeptidase ShyA;hypothetical protein"
"galF~~~galF_2~~~galF_1~~~galU_3~~~galU_1~~~galU_2~~~galU",9.27074309826723e-05,"galF;galF_2;galF_1;galU_3;galU_1;galU_2;galU;","UTP--glucose-1-phosphate uridylyltransferase;hypothetical protein"
"group_10980",9.23539645459555e-05,"","hypothetical protein"
"group_563",9.21977946858141e-05,"","hypothetical protein"
"psuK_2~~~psuK_3~~~psuK_4",9.20451305659651e-05,"psuK_2;psuK_3;psuK_4","Pseudouridine kinase"
"group_8325",9.19480860518209e-05,"","hypothetical protein"
"group_4047",9.13640791760713e-05,"","hypothetical protein"
"eno_2~~~eno_3~~~eno_1",9.05830615384475e-05,"eno_2;eno_3;eno_1","Enolase"
"group_4702",9.01722698948808e-05,"","hypothetical protein"
"group_10978",8.9901394288739e-05,"","hypothetical protein"
"traQ",8.98247643942791e-05,"traQ","Protein TraQ"
"group_31724",8.97764397525445e-05,"","hypothetical protein"
"group_478",8.95840087004043e-05,"","hypothetical protein;IS3 family transposase IS1133"
"cusS_4~~~cusS_2~~~silS~~~cusS_3",8.9426948244089e-05,"cusS_4;cusS_2;silS;cusS_3","Sensor histidine kinase CusS;copper/silver sensor histidine kinase SilS"
"group_8614",8.78615923057184e-05,"","hypothetical protein"
"group_10783",8.78429894929909e-05,"","hypothetical protein"
"group_1163",8.68119808634893e-05,"","hypothetical protein"
"group_16032",8.62319238291105e-05,"","hypothetical protein"
"psiB~~~psiB_1~~~psiB_2~~~psiB_3",8.59494917739607e-05,"psiB;psiB_1;psiB_2;psiB_3;","Protein PsiB;hypothetical protein"
"pglA~~~pglA_1~~~pglA_2",8.49972936767423e-05,"pglA;pglA_1;pglA_2","NN'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-13-N-acetylgalactosaminyltransferase"
"group_2201",8.477966371721e-05,"","hypothetical protein"
"group_19201",8.46431971630566e-05,"","hypothetical protein"
"group_1819",8.42646925691251e-05,"","hypothetical protein"
"group_10665",8.39428771297046e-05,"","hypothetical protein"
"group_5092",8.3681783088928e-05,"","hypothetical protein"
"gspK_2~~~gspK_1~~~gspK~~~gspK_3",8.330054860941e-05,"gspK_2;;gspK_1;gspK;gspK_3","Putative type II secretion system protein K;hypothetical protein"
"group_1372",8.29085447903786e-05,"","hypothetical protein"
"group_7509",8.26520121297514e-05,"deoR_2","Deoxyribose operon repressor"
"group_7384",8.2299562681893e-05,"","hypothetical protein"
"group_2849",8.2179930795848e-05,"","hypothetical protein"
"cysE_2~~~cysE_1",8.14501138810191e-05,"cysE_2;cysE_1;","Serine acetyltransferase;hypothetical protein"
"group_2283",8.1305272739044e-05,"","hypothetical protein"
